Title
0 65 65 0.0 1.0
0.000000  0.000000
0.000600  0.002870
0.002410  0.005732
0.005410  0.008566
0.009610  0.011372
0.014980  0.014143
0.021530  0.016872
0.029230  0.019557
0.038060  0.022198
0.048010  0.024784
0.059040  0.027313
0.071140  0.029777
0.084270  0.032169
0.098400  0.034481
0.113490  0.036711
0.129520  0.038843
0.146450  0.040877
0.164220  0.042806
0.182800  0.044631
0.202150  0.046340
0.222210  0.047943
0.242950  0.049422
0.264300  0.050784
0.286220  0.052003
0.308660  0.053077
0.331560  0.053973
0.354860  0.054661
0.378510  0.055112
0.402450  0.055329
0.426630  0.055309
0.450990  0.055054
0.475470  0.054588
0.500000  0.053930
0.524530  0.053111
0.549010  0.052161
0.573360  0.051119
0.597540  0.050000
0.621490  0.048827
0.645140  0.047583
0.668450  0.046233
0.691340  0.044767
0.713780  0.043174
0.735700  0.041427
0.757050  0.039526
0.777780  0.037470
0.797850  0.035256
0.817200  0.032900
0.835780  0.030405
0.853550  0.027792
0.870480  0.025092
0.886510  0.022308
0.901600  0.019485
0.915740  0.016642
0.928860  0.013834
0.940960  0.011082
0.952000  0.008438
0.961940  0.005945
0.970770  0.003642
0.978470  0.001661
0.985020  0.001076
0.990390  0.000681
0.994590  0.000382
0.997590  0.000168
0.999400  0.000041
1.000000  0.000000
0.000000  0.000000
0.000600  -0.002870
0.002410  -0.005732
0.005410  -0.008566
0.009610  -0.011372
0.014980  -0.014143
0.021530  -0.016873
0.029230  -0.019565
0.038060  -0.022229
0.048010  -0.024857
0.059040  -0.027451
0.071140  -0.030001
0.084270  -0.032505
0.098400  -0.034953
0.113490  -0.037337
0.129520  -0.039638
0.146450  -0.041845
0.164220  -0.043941
0.182800  -0.045912
0.202150  -0.047737
0.222210  -0.049413
0.242950  -0.050913
0.264300  -0.052231
0.286220  -0.053328
0.308660  -0.054189
0.331560  -0.054764
0.354860  -0.055012
0.378510  -0.054888
0.402450  -0.054380
0.426630  -0.053474
0.450990  -0.052157
0.475470  -0.050443
0.500000  -0.048340
0.524530  -0.045871
0.549010  -0.043060
0.573360  -0.039942
0.597540  -0.036529
0.621490  -0.032897
0.645140  -0.029144
0.668450  -0.025345
0.691340  -0.021596
0.713780  -0.017976
0.735700  -0.014536
0.757050  -0.011341
0.777780  -0.008438
0.797850  -0.005855
0.817200  -0.003624
0.835780  -0.001750
0.853550  -0.000240
0.870480  0.000885
0.886510  0.001652
0.901600  0.002063
0.915740  0.002154
0.928860  0.001953
0.940960  0.001518
0.952000  0.000889
0.961940  0.000123
0.970770  -0.000727
0.978470  -0.001491
0.985020  -0.001076
0.990390  -0.000681
0.994590  -0.000382
0.997590  -0.000168
0.999400  -0.000041
1.000000  0.000000
